,year,geoid,pollutant,emissions,vmt,sourcehours,vehicles,starts,idlehours,hoteld,hotelb,hotelo,by,sourcetype,regclass,fueltype,roadtype,table
26,2060.0,1005,98.0,192985.58659,497560180.02,14063405.331299994,38604.28799,48691561.017,0.0,0.0,0.0,0.0,16,,,,,d01005
27,2020.0,1007,98.0,166007.72726554796,326600901.2236,7633759.274277818,27081.798907387,30196652.4864172,0.0,0.0,0.0,0.0,16,,,,,d01007
28,2025.0,1007,98.0,154863.35126944,335997591.617469,7852538.471928179,27962.277246085003,31332824.011943396,0.0,0.0,0.0,0.0,16,,,,,d01007
29,2030.0,1007,98.0,146361.78887317,347499243.91996074,8123949.8227508785,28626.544061448003,32266998.3165448,0.0,0.0,0.0,0.0,16,,,,,d01007
30,2035.0,1007,98.0,141701.71053721997,356457063.6433135,8338591.180476251,29181.9589155499,33124439.83330869,0.0,0.0,0.0,0.0,16,,,,,d01007
31,2040.0,1007,98.0,142380.46873495998,368632027.929169,8630513.46413138,29750.924264423,34033831.8265005,0.0,0.0,0.0,0.0,16,,,,,d01007
32,2045.0,1007,98.0,145647.26425300003,381942435.783,8948144.201699998,30462.812074,35144835.3287,0.0,0.0,0.0,0.0,16,,,,,d01007
33,2050.0,1007,98.0,150779.360659,395423107.537,9267162.073,31140.804743,36270511.5671,0.0,0.0,0.0,0.0,16,,,,,d01007
34,2055.0,1007,98.0,156714.70042599997,408531730.01,9576821.4868,31752.08351,37344218.3809,0.0,0.0,0.0,0.0,16,,,,,d01007
35,2060.0,1007,98.0,163329.76312000002,422263922.98,9901504.003400002,32402.153699,38502484.9211,0.0,0.0,0.0,0.0,16,,,,,d01007
36,2020.0,1009,98.0,406324.1712927361,753949211.2398899,16033254.018924806,61115.302182888,73252509.49049939,122700.142,9204.508,0.0,32976.023,16,,,,,d01009
37,2025.0,1009,98.0,379423.42426606064,775911394.0547521,16498338.290146785,63103.472290124,76008654.0058175,105781.5423,24510.438,5373.11,33916.36057,16,,,,,d01009
38,2030.0,1009,98.0,358025.15130707395,802626767.0735115,17070044.03303728,64607.458580137,78274755.5063135,87759.405014,40074.189999999995,11959.02,34948.106253499995,16,,,,,d01009
39,2035.0,1009,98.0,346255.35835996486,823679007.1200678,17524621.58558019,65867.343181896,80354805.03120579,76186.23367098,50662.88,17298.783,36036.900917745,16,,,,,d01009
40,2040.0,1009,98.0,347679.7632700613,852081842.295476,18138959.373865567,67158.605157666,82560849.1204168,71727.82,56898.45,20576.686,37300.82,16,,,,,d01009
